Opponent 3rd Percent,Opp Pass TDs Allowed,Yards/Pass Attempt Allowed,Pass Yards Per Game Allowed,Opp Redzone Scores,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Average Sacks per Game,Opponents Intercepted,Def.Plays,Opp.Redzone.Scores,
0.279,10,7.11,159.1,21,3.39,10,95.3,0.92,9,865,43,
0.352,22,8.24,243.8,45,4.26,25,162.4,4.58,9,771,17,
0.305,12,5.63,187.8,33,3.64,15,130.4,1.69,7,991,34,
0.423,18,7.24,219.7,29,3.64,20,127.5,1.5,7,942,40,
0.478,25,7.74,258.6,50,5.59,33,209.1,1.92,3,814,37,
0.494,14,6.9,233.4,50,5.19,31,188.1,2.33,11,929,44,
0.45,24,8.53,294.7,47,4.55,26,170.5,2.38,9,753,44,
0.364,25,8.3,242.7,33,4.03,23,162.4,3.17,6,989,38,
0.387,15,6.98,160,33,5.05,19,199,1,10,965,31,
0.425,15,6.48,222.6,41,4.64,28,172.7,2.67,6,986,32,
0.396,17,6.23,216.1,38,4.12,23,182.3,1.17,7,941,36,
0.458,17,7.2,222.8,46,3.89,25,148.2,1.69,13,890,22,
0.315,13,6.49,167.7,28,3.49,16,124.8,1,15,890,30,
0.37,19,7.28,211.2,42,4.37,25,166.7,3.83,7,1028,38,
0.47,29,7.51,250.7,44,4.36,22,168.9,2.85,10,898,45,
0.353,19,7.19,226.8,40,4.99,23,168.1,2.46,13,831,42,
0.461,25,7.47,234.3,53,4.55,22,173.8,1,8,861,26,
0.391,23,7.34,279.5,39,4.2,19,149.1,2.58,11,921,27,
0.33,21,6.9,221.9,34,3.76,20,149.6,2.58,4,924,53,
0.444,28,9.74,278.5,47,5.16,29,205.2,2.83,9,1033,37,
0.385,15,6.06,182.2,32,3.6,18,153.2,2.92,11,979,34,
0.352,21,6.65,231.7,38,3.25,12,102.7,2,13,806,47,
0.421,28,9.18,284.5,45,3.95,22,133.5,2.31,9,784,46,
0.531,31,8.7,264.7,58,6.06,39,245.1,1.92,6,801,28,
0.378,15,6.47,191.4,41,4.15,24,163.6,4.92,8,712,32,
0.43,25,7.19,257.3,36,3.71,10,121.6,1.31,10,963,23,
0.423,27,8.7,291.8,36,3.44,15,112.5,1.31,11,902,41,
0.426,23,7.18,220.9,46,4.3,23,156.1,2.46,13,849,31,
0.495,24,7.73,260.3,52,4.67,31,191.8,1.5,7,1034,37,
0.363,25,7.28,245.8,39,4.88,15,179,1.17,12,917,51,
0.497,17,7.74,235.8,47,4.49,29,175.2,1.23,9,867,48,
0.35,18,6.16,165.4,34,3.96,14,156.4,1.54,8,940,44,
0.361,14,6.11,189.4,36,4.27,17,149.6,2.79,12,861,24,
0.43,19,7.71,256.8,47,5.54,29,230.9,0.54,11,918,41,
0.266,15,6.45,219.7,23,2.88,7,77.1,0.6,12,892,44,
0.417,22,7.63,228.8,35,4.3,22,170.5,2.83,13,919,40,
0.386,17,6.96,212.4,37,4.53,20,188.6,3.25,11,813,44,
0.395,21,7.94,224.8,53,5.6,28,213.3,1.54,10,819,42,
0.43,32,7.56,278.6,50,4.14,18,143.2,1.77,8,880,33,
0.301,9,5.44,173.8,23,3.28,6,99.8,2.15,24,888,35,
0.424,30,8.04,274.2,43,4.14,19,175.1,3.17,7,925,37,
0.306,13,5.27,169.5,27,2.83,4,101.3,2.92,15,779,26,
