Win,Def.Rank,Def.Plays,Yards.Allowed,Yards.Play.Allowed,Off.TDs.Allowed,Total.TDs.Allowed,Yards.Per.Game.Allowed,First.Down.Def.Rank,Opp.First.Down.Runs,Opp.First.Down.Passes,Opp.First.Down.Penalties,Opp.First.Downs,X4rd.Down.Def.Rank,Opp.4th.Conversion,Opp.4th.Attempt,Opponent.4th.Percent,Interceptions.Thrown.x,Pass.Def.Rank,Opp.Completions.Allowed,Opp.Pass.Attempts,Opp.Pass.Yds.Allowed,Opp.Pass.TDs.Allowed,Yards.Attempt.Allowed,Yards.Completion.Allowed,Redzone.Def.Rank,Opp.Redzone.Attempts,Opp.Redzone.Rush.TD.Allowed,Opp.Redzone.Pass.Touchdowns.Allowed,Opp.Redzone.Field.Goals.Made,Opp.Redzone.Scores,Redzone.Points.Allowed,Rushing.Def.Rank,Opp.Rush.Attempts,Opp.Rush.Yards.Alloweed,Yds.Rush.Allowed,Opp.Rush.Touchdowns.Allowed,Rush.Yards.Per.Game.Allowed,Sack.Rank,Sacks,Sack.Yards,Average.Sacks.per.Game,Scoring.Def.Rank,Touchdowns.Allowed,Opponent.Extra.Points,X2.Point.Conversions.Allowed,Opp.Feild.Goals.Made,Opp.Safety,Points.Allowed,Avg.Points.per.Game.Allowed,Defensive.Points,Safety,Tackle.for.Loss.Rank,Solo.Tackle.For.Loss,Assist.Tackle.For.Loss,Tackle.for.Loss.Yards,Total.Tackle.For.Loss,Tackle.For.Loss.Per.Game,X3rd.Down.Def.Rank,Opp.3rd.Conversion,Opp.3rd.Attempt,Opponent.3rd.Percent,Turnover.Rank,Fumbles.Recovered,Opponents.Intercepted,Turnovers.Gain,,,,,,
5,59,865,4764,5.51,43,44,397,54,106,133,19,258,27,7,17,0.412,10,67,238,385,2795,27,7.26,11.74,75,51,15,18,10,43,0.843,63,480,1969,4.1,16,164.1,77,27,185,2.25,73,44,39,1,12,1,343,28.6,0,0,81,51,32,251,67,5.6,93,75,175,0.429,74,6,13,19,,,,,,
11,5,771,3725,4.83,21,23,286.5,4,78,101,15,194,3,5,19,0.263,7,11,197,355,2344,13,6.6,11.9,4,25,6,8,3,17,0.68,7,416,1381,3.32,8,106.2,23,17,118,1.31,4,23,22,0,7,0,181,13.9,0,1,94,53,32,245,69,5.3,24,61,176,0.347,48,8,11,19,,,,,,
8,62,991,5214,5.26,38,39,401.1,79,122,139,15,276,43,12,26,0.462,7,70,269,460,3032,20,6.59,11.27,99,39,16,10,8,34,0.872,69,531,2182,4.11,18,167.8,23,17,76,1.31,39,39,34,0,15,1,315,24.2,0,1,65,63,28,255,77,5.9,61,83,211,0.393,39,4,18,22,,,,,,
10,42,942,5213,5.53,45,48,372.4,30,94,135,14,243,93,13,22,0.591,12,71,249,445,3286,24,7.38,13.2,96,46,14,16,10,40,0.87,26,497,1927,3.88,21,137.6,108,41,228,2.93,63,48,41,0,14,1,373,26.6,0,1,20,85,32,413,101,7.2,44,79,213,0.371,7,12,21,33,,,,,,
3,76,814,4961,6.09,46,49,413.4,64,127,127,12,266,105,9,14,0.643,11,72,231,356,2820,25,7.92,12.21,52,45,14,15,8,37,0.822,78,458,2141,4.67,21,178.4,3,8,75,0.67,88,49,48,0,9,0,369,30.8,0,0,81,52,30,294,67,5.6,94,66,152,0.434,111,6,8,14,,,,,,
8,74,929,5370,5.78,42,43,413.1,71,120,125,24,269,32,9,21,0.429,7,69,239,433,3028,20,6.99,12.67,31,56,21,11,12,44,0.786,80,496,2342,4.72,22,180.2,75,29,155,2.23,58,43,38,1,14,0,340,26.2,0,0,88,51,40,297,71,5.5,51,76,199,0.382,24,12,9,21,,,,,,
3,71,753,4930,6.55,48,49,410.8,23,126,100,9,235,75,10,18,0.556,4,14,155,251,2370,19,9.44,15.29,90,51,22,12,10,44,0.863,103,502,2560,5.1,29,213.3,32,17,69,1.42,91,49,40,3,13,0,379,31.6,0,1,109,54,8,204,58,4.8,98,64,145,0.441,70,9,7,16,,,,,,
12,86,989,5890,5.96,38,41,420.7,101,116,152,20,288,44,13,28,0.464,8,100,286,494,3620,19,7.33,12.66,10,52,17,9,12,38,0.731,62,495,2270,4.59,19,162.1,22,18,121,1.29,48,41,38,1,20,0,346,24.7,0,0,41,68,44,329,90,6.4,13,66,200,0.33,61,6,13,19,,,,,,
10,77,965,5380,5.58,36,39,413.8,83,135,129,16,280,98,19,31,0.613,8,44,265,433,2841,14,6.56,10.72,20,41,16,6,9,31,0.756,92,532,2539,4.77,22,195.3,17,16,105,1.23,47,39,37,1,16,0,321,24.7,0,0,74,52,44,288,74,5.7,60,77,196,0.393,12,18,13,31,,,,,,
11,28,986,4684,4.75,38,41,360.3,28,98,109,35,242,2,7,28,0.25,6,34,212,440,2794,23,6.35,13.18,22,42,12,14,6,32,0.762,38,546,1890,3.46,15,145.4,44,22,113,1.69,36,41,37,0,7,1,306,23.5,0,0,11,79,40,338,99,7.6,19,74,218,0.339,8,10,19,29,,,,,,
7,92,941,5577,5.93,45,48,429,82,118,150,11,279,53,8,16,0.5,8,111,283,423,3489,26,8.25,12.33,30,46,16,14,6,36,0.783,58,518,2088,4.03,19,160.6,44,22,150,1.69,77,48,47,0,13,0,376,28.9,0,0,30,70,34,368,87,6.7,89,80,189,0.423,42,11,9,20,,,,,,
10,10,890,4500,5.06,27,29,321.4,27,104,117,20,241,14,8,23,0.348,7,6,232,422,2392,11,5.67,10.31,3,34,14,6,2,22,0.647,46,468,2108,4.5,16,150.6,108,41,232,2.93,5,29,28,1,6,0,222,15.9,0,0,58,65,38,335,84,6,29,67,190,0.353,19,13,8,21,,,,,,
8,49,890,4976,5.59,39,40,382.8,34,108,117,21,246,1,4,18,0.222,8,38,197,379,2810,15,7.41,14.26,8,42,16,6,8,30,0.714,67,511,2166,4.24,24,166.6,36,20,110,1.54,40,40,37,2,12,0,317,24.4,0,2,24,68,44,363,90,6.9,25,63,181,0.348,6,14,15,29,,,,,,
8,47,1028,4925,4.79,30,33,378.8,61,100,136,27,263,14,8,23,0.348,14,46,279,490,2846,19,5.81,10.2,43,47,11,14,13,38,0.809,56,538,2079,3.86,11,159.9,107,38,232,2.92,22,33,31,0,18,2,287,22.1,0,1,49,66,30,303,81,6.2,33,84,233,0.361,48,10,13,23,,,,,,
1,122,898,6355,7.08,64,72,529.6,113,109,159,29,297,108,12,18,0.667,14,123,282,436,4092,32,9.39,14.51,92,52,21,14,10,45,0.865,86,462,2263,4.9,32,188.6,110,36,212,3,122,72,69,0,16,1,551,45.9,0,1,44,58,36,222,76,6.3,82,72,174,0.414,122,8,5,13,,,,,,
6,66,831,4862,5.85,39,43,405.2,40,128,110,14,252,29,8,19,0.421,17,20,200,326,2447,16,7.51,12.24,72,50,18,12,12,42,0.84,97,505,2415,4.78,23,201.3,99,31,198,2.58,73,43,38,1,15,0,343,28.6,0,0,52,50,48,261,74,6.2,101,73,163,0.448,94,8,14,22,,,,,,
9,9,861,4103,4.77,28,34,315.6,14,80,131,19,230,72,12,22,0.545,17,29,254,438,2745,16,6.27,10.81,23,34,10,8,8,26,0.765,6,423,1358,3.21,12,104.5,23,17,136,1.31,14,34,29,1,12,1,273,21,0,0,26,64,50,374,89,6.8,14,60,181,0.331,102,8,13,21,,,,,,
11,25,921,4637,5.03,36,37,356.7,22,99,111,24,234,97,14,23,0.609,12,16,202,378,2613,14,6.91,12.94,48,33,15,6,6,27,0.818,52,543,2024,3.73,22,155.7,102,35,220,2.69,24,37,34,0,10,1,288,22.2,0,0,1,106,34,460,123,9.5,5,65,211,0.308,29,12,18,30,,,,,,
4,106,924,5616,6.08,55,58,468,74,118,141,12,271,95,15,25,0.6,15,102,247,418,3114,24,7.45,12.61,61,64,27,16,10,53,0.828,101,506,2502,4.94,31,208.5,41,20,154,1.67,112,58,55,2,16,2,459,38.3,0,0,69,64,12,247,70,5.8,58,73,188,0.388,79,11,10,21,,,,,,
10,82,1033,5852,5.67,42,48,418,121,141,150,20,311,70,15,28,0.536,19,82,264,460,3414,25,7.42,12.93,52,45,16,13,8,37,0.822,75,573,2438,4.25,17,174.1,15,17,93,1.21,63,48,45,2,12,0,373,26.6,0,0,106,54,30,273,69,4.9,46,79,212,0.373,60,8,18,26,,,,,,
10,36,979,4794,4.9,36,39,368.8,64,97,154,15,266,62,13,25,0.52,10,93,304,514,3277,24,6.38,10.78,19,45,12,14,8,34,0.756,13,465,1517,3.26,12,116.7,82,30,200,2.31,49,39,38,0,16,1,322,24.8,0,0,58,54,48,306,78,6,107,104,228,0.456,21,6,18,24,,,,,,
2,118,806,6130,7.61,66,71,510.8,89,139,125,18,282,121,8,10,0.8,14,94,204,312,3031,23,9.71,14.86,98,54,24,10,13,47,0.87,121,494,3099,6.27,43,258.3,85,28,143,2.33,121,71,69,1,15,0,542,45.2,0,0,119,34,24,199,46,3.8,116,64,135,0.474,120,4,7,11,,,,,,
1,94,784,5156,6.58,54,57,429.7,51,120,111,25,256,103,7,11,0.636,10,54,206,317,2691,28,8.49,13.06,106,52,18,13,15,46,0.885,99,467,2465,5.28,26,205.4,122,52,360,4.33,110,57,51,1,15,2,444,37,0,0,110,48,18,192,57,4.8,64,60,151,0.397,97,7,7,14,,,,,,
6,11,801,3911,4.88,29,32,325.9,8,97,97,14,208,37,7,16,0.438,11,2,162,344,1938,11,5.63,11.96,83,33,14,6,8,28,0.848,65,457,1973,4.32,18,164.4,72,26,148,2.17,26,32,30,0,15,0,267,22.3,0,0,58,61,22,338,72,6,16,57,170,0.335,79,6,13,19,,,,,,
4,8,712,3771,5.3,26,27,314.3,3,87,83,22,192,48,8,17,0.471,9,7,159,319,2062,9,6.46,12.97,50,39,15,4,13,32,0.821,33,393,1709,4.35,17,142.4,77,27,227,2.25,15,27,25,0,22,0,253,21.1,0,1,102,54,14,249,61,5.1,20,51,150,0.34,74,8,10,18,,,,,,
14,3,963,3940,4.09,21,21,281.4,17,101,110,21,232,53,11,22,0.5,13,1,222,427,2193,14,5.14,9.88,24,30,5,11,7,23,0.767,18,536,1747,3.26,7,124.8,88,33,233,2.36,1,21,20,0,8,0,170,12.1,0,1,22,85,26,408,98,7,10,68,211,0.322,3,9,26,35,,,,,,
8,45,902,4882,5.41,43,47,375.5,40,101,126,25,252,103,14,22,0.636,12,60,221,382,2956,18,7.74,13.38,86,48,21,8,12,41,0.854,41,520,1926,3.7,25,148.2,44,22,140,1.69,78,47,43,1,16,1,377,29,0,0,49,71,20,337,81,6.2,66,77,193,0.399,102,8,7,15,,,,,,
7,27,849,4683,5.52,36,38,360.2,51,83,159,14,256,99,8,13,0.615,13,83,267,427,3178,18,7.44,11.9,14,42,17,9,5,31,0.738,11,422,1505,3.57,18,115.8,9,14,87,1.08,29,38,35,1,10,1,297,22.8,0,0,42,69,28,342,83,6.4,35,61,168,0.363,85,6,14,20,,,,,,
8,79,1034,5405,5.23,33,34,415.8,103,119,150,21,290,80,14,25,0.56,10,108,298,493,3468,15,7.03,11.64,18,49,16,9,12,37,0.755,43,541,1937,3.58,18,149,75,29,209,2.23,20,34,28,0,17,0,283,21.8,0,1,58,62,32,360,78,6,23,73,212,0.344,1,18,25,43,,,,,,
1,121,917,6353,6.93,72,76,529.4,121,131,159,21,311,112,13,19,0.684,13,122,304,450,3790,40,8.42,12.47,68,61,26,20,5,51,0.836,104,467,2563,5.49,32,213.6,123,53,368,4.42,123,76,73,0,10,1,561,46.8,0,0,66,66,10,278,71,5.9,114,80,171,0.468,107,9,10,19,,,,,,
4,110,867,5778,6.66,54,55,481.5,93,133,131,20,284,53,9,18,0.5,14,81,231,354,2915,25,8.23,12.62,73,57,19,17,12,48,0.842,116,513,2863,5.58,29,238.6,93,30,231,2.5,104,55,52,0,13,2,425,35.4,0,1,81,51,32,219,67,5.6,104,76,168,0.452,112,8,3,11,,,,,,
5,120,940,6335,6.74,59,63,527.9,120,149,149,12,310,38,13,29,0.448,14,118,253,415,3482,24,8.39,13.76,80,52,25,11,8,44,0.846,115,525,2853,5.43,35,237.8,35,18,121,1.5,114,63,61,0,9,0,466,38.8,0,1,93,47,34,232,64,5.3,113,80,172,0.465,79,10,7,17,,,,,,
8,6,861,3940,4.58,28,30,303.1,7,96,103,8,207,85,12,21,0.571,15,9,217,395,2271,20,5.75,10.47,87,28,7,8,9,24,0.857,19,466,1669,3.58,8,128.4,12,15,61,1.15,9,30,30,0,12,0,246,18.9,0,0,54,55,50,239,80,6.2,31,71,199,0.357,68,8,13,21,,,,,,
3,105,918,5557,6.05,50,56,463.1,62,116,131,17,264,82,13,23,0.565,14,75,239,416,2869,17,6.9,12,38,51,22,9,10,41,0.804,112,502,2688,5.35,33,224,115,38,225,3.17,108,56,54,0,14,0,432,36,0,0,104,46,28,192,60,5,54,71,185,0.384,70,13,8,21,,,,,,
3,96,892,5191,5.82,45,48,432.6,64,108,135,23,266,4,2,7,0.286,12,78,235,407,2904,20,7.14,12.36,80,52,20,11,13,44,0.846,89,485,2287,4.72,25,190.6,93,30,227,2.5,93,48,45,0,15,1,382,31.8,0,0,56,60,26,274,73,6.1,75,73,179,0.408,54,10,14,24,,,,,,
8,26,919,4665,5.08,33,35,358.8,38,109,127,13,249,50,11,23,0.478,13,48,277,458,2857,13,6.24,10.31,116,44,17,8,15,40,0.909,27,461,1808,3.92,20,139.1,60,26,150,2,31,35,32,1,18,0,298,22.9,0,0,88,59,24,240,71,5.5,76,81,198,0.409,61,8,17,25,,,,,,
4,70,813,4919,6.05,40,40,409.9,56,136,107,16,259,5,4,13,0.308,9,27,176,324,2533,19,7.82,14.39,63,53,19,13,12,44,0.83,94,489,2386,4.88,21,198.8,14,14,86,1.17,67,40,38,0,15,0,323,26.9,0,0,115,39,28,211,53,4.4,90,64,151,0.424,86,4,9,13,,,,,,
2,91,819,5126,6.26,48,49,427.2,45,122,117,16,255,113,11,16,0.688,6,64,221,336,2758,22,8.21,12.48,42,52,18,16,8,42,0.808,93,483,2368,4.9,26,197.3,114,37,236,3.08,89,49,46,1,10,0,374,31.2,0,1,114,42,24,216,54,4.5,100,71,159,0.447,61,12,3,15,,,,,,
6,90,880,5122,5.82,41,46,426.8,45,113,127,15,255,10,4,12,0.333,14,74,220,408,2851,22,6.99,12.96,25,43,17,9,7,33,0.767,87,472,2271,4.81,19,189.3,77,27,139,2.25,83,46,42,1,14,0,362,30.2,0,0,69,51,38,186,70,5.8,70,74,184,0.402,86,6,13,19,,,,,,
9,56,888,5116,5.76,37,43,393.5,63,106,139,20,265,22,10,26,0.385,14,80,250,414,3157,17,7.63,12.63,35,44,16,7,12,35,0.795,47,474,1959,4.13,20,150.7,66,27,166,2.08,62,43,39,1,15,0,344,26.5,0,0,35,67,36,275,85,6.5,81,76,184,0.413,56,9,14,23,,,,,,
4,69,925,4899,5.3,37,39,408.3,58,136,116,9,261,66,10,19,0.526,15,31,204,357,2562,12,7.18,12.56,52,45,25,2,10,37,0.822,91,568,2337,4.11,25,194.8,93,30,209,2.5,61,39,39,0,14,0,315,26.3,0,1,58,52,40,203,72,6,105,92,203,0.453,79,8,18,26,,,,,,
12,1,779,3269,4.2,18,18,251.5,1,70,93,20,183,63,12,23,0.522,4,5,189,373,2220,8,5.95,11.75,5,38,10,8,8,26,0.684,1,406,1049,2.58,10,80.7,60,26,188,2,2,18,18,0,10,1,158,12.2,0,0,6,92,20,461,102,7.8,1,46,172,0.267,2,11,16,27,,,,,,
10,15,872,4429,5.08,30,32,340.7,34,103,124,19,246,32,9,21,0.429,9,13,223,398,2567,15,6.45,11.51,46,43,12,9,14,35,0.814,35,474,1862,3.93,15,143.2,57,25,196,1.92,21,32,31,0,21,0,286,22,0,0,94,52,34,281,69,5.3,53,72,188,0.383,61,8,11,19,,,,,,
10,35,1053,5160,4.9,37,40,368.6,76,128,123,24,275,84,17,30,0.567,10,24,230,446,2913,17,6.53,12.67,63,53,20,11,13,44,0.83,57,607,2247,3.7,20,160.5,54,26,184,1.86,32,40,33,3,14,0,321,22.9,0,0,17,75,54,370,102,7.3,17,75,223,0.336,46,8,18,26,,,,,,
7,44,957,4867,5.09,38,38,374.4,43,104,137,13,254,27,7,17,0.412,10,57,269,435,2926,18,6.73,10.88,115,53,16,14,18,48,0.906,45,522,1941,3.72,20,149.3,66,27,204,2.08,55,38,36,1,21,0,329,25.3,1,2,8,78,46,456,101,7.8,21,69,202,0.342,102,10,11,21,,,,,,
1,98,788,5199,6.6,45,50,433.3,45,125,116,14,255,49,9,19,0.474,18,42,189,308,2613,22,8.48,13.83,46,43,14,9,12,35,0.814,106,480,2586,5.39,23,215.5,28,16,74,1.33,97,50,49,0,15,1,396,33,0,0,119,30,32,133,46,3.8,72,59,146,0.404,105,11,8,19,,,,,,
3,39,857,4448,5.19,34,37,370.7,39,86,138,26,250,66,10,19,0.526,11,97,265,436,3052,18,7,11.52,26,44,15,10,9,34,0.773,12,421,1396,3.32,16,116.3,85,28,213,2.33,44,37,35,1,12,0,295,24.6,0,0,36,67,22,292,78,6.5,96,83,189,0.439,107,7,11,18,,,,,,
9,89,964,5543,5.75,42,43,426.4,97,123,154,10,287,108,14,21,0.667,14,90,266,442,3248,16,7.35,12.21,36,50,21,6,13,40,0.8,77,522,2295,4.4,26,176.5,23,17,147,1.31,65,43,39,0,17,0,348,26.8,0,1,112,53,16,249,61,4.7,88,83,198,0.419,32,9,18,27,,,,,,
0,113,915,5811,6.35,52,55,484.3,119,155,145,9,309,117,9,12,0.75,11,103,254,387,3131,29,8.09,12.33,34,68,23,18,13,54,0.794,111,528,2680,5.08,23,223.3,121,50,311,4.17,106,55,54,1,14,0,428,35.7,0,0,98,46,32,164,62,5.2,120,80,166,0.482,79,8,10,18,,,,,,
7,41,912,4829,5.29,37,40,371.5,45,108,138,9,255,24,6,15,0.4,13,66,243,434,3007,23,6.93,12.37,94,45,10,14,15,39,0.867,29,478,1822,3.81,14,140.2,105,36,270,2.77,66,40,37,0,24,0,349,26.8,0,0,91,57,26,283,70,5.4,65,76,191,0.398,32,9,17,26,,,,,,
13,2,873,3531,4.04,20,21,252.2,5,64,110,26,200,8,6,19,0.316,7,3,213,448,2319,12,5.18,10.89,36,30,6,8,10,24,0.8,2,425,1212,2.85,8,86.6,15,17,127,1.21,3,21,20,0,13,0,185,13.2,0,0,36,64,54,366,91,6.5,2,57,204,0.279,10,11,17,28,,,,,,
8,63,987,5235,5.3,41,43,402.7,97,146,126,15,287,108,12,18,0.667,15,19,245,389,2644,16,6.8,10.79,17,53,21,10,9,40,0.755,96,598,2591,4.33,25,199.3,17,16,90,1.23,60,43,38,2,13,1,341,26.2,0,0,99,59,16,270,67,5.2,119,99,207,0.478,12,18,15,33,,,,,,
8,43,858,4852,5.66,35,36,373.2,33,108,123,14,245,93,13,22,0.591,7,35,247,405,2796,16,6.9,11.32,15,50,17,9,11,37,0.74,54,453,2056,4.54,19,158.2,66,27,170,2.08,25,36,31,0,14,0,289,22.2,0,0,78,57,32,286,73,5.6,42,64,174,0.368,42,9,10,19,,,,,,
7,18,833,4541,5.45,35,36,349.3,17,94,123,15,232,53,9,18,0.5,12,22,240,388,2667,18,6.87,11.11,80,39,14,11,8,33,0.846,37,445,1874,4.21,17,144.2,50,23,150,1.77,33,36,35,1,14,2,299,23,0,0,74,54,40,260,74,5.7,28,63,179,0.352,24,11,14,25,,,,,,
